university_name,university_director_fio
Національний медичний університет імені О.О. Богомольця,Кучин Юрій Леонідович
Національний педагогічний університет імені М.П. Драгоманова,Андрущенко Віктор Петрович
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Згуровський Михайло Захарович
Національний транспортний університет,Дмитриченко Микола Федорович
Національний університет біоресурсів і природокористування України,Ніколаєнко Станіслав Миколайович
"Національний університет ""Києво-Могилянська академія""",Квіт Сергій Миронович
Національний університет оборони України імені Івана Черняховського,Сиротенко Анатолій Миколайович
Національний університет охорони здоров’я України імені П. Л. Шупика,Вороненко Юрій Васильович
Національний університет фізичного виховання і спорту України,Імас Євгеній Вікторович
Національний університет харчових технологій,Шевченко Олександр Юхимович
"Приватна установа ""Університет ""Київська школа економіки""",Верченко Олеся Петрівна
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",Шепелюк Олександр Юрійович
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Київський міжгалузевий інститут підвищення кваліфікації""",Шевченко Станіслав Іванович
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Щокін Ростислав Георгійович
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Національна академія управління""",Єрохін Сергій Аркадійович
"Приватний вищий навчальний заклад ""Деснянський економіко-правовий коледж при Міжрегіональній Академії управління персоналом""",Яровой Володимир Ілліч
"Приватний вищий навчальний заклад ""Економіко-правовий технікум при Міжрегіональній Академії управління персоналом""",Швець Катерина Павлівна
"Приватний вищий навчальний заклад ""Європейський університет""",Тимошенко Олена Іванівна
"Приватний вищий навчальний заклад ""Інститут екології економіки і права""",Нікандров Олександр Всеволодович
"Приватний вищий навчальний заклад ""Київський коледж бізнесу""",Перова Вікторія Вікторівна
"ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""",Поканевич Олександр Валерійович
"Приватний вищий навчальний заклад ""Київський університет культури""",Пилипів Володимир Іванович
"Приватний вищий навчальний заклад ""Міжнародна академія екології та медицини""",Савицький Іван Володимирович
"Приватний вищий навчальний заклад ""Міжнародна академія сертифікації бухгалтерів і аудиторів""",Чумак Оксана Володимирівна
"Приватний вищий навчальний заклад ""Міжнародний інститут бізнесу""",Савченко Олександр Володимирович
"Приватний вищий навчальний заклад ""Міжнародний інститут менеджменту (МІМ-Київ)""",Тихомирова Ірина Олегівна
"Приватний вищий навчальний заклад ""Міжнародний коледж медицини""",Федорова Тамара Григорівна
"Приватний вищий навчальний заклад ""Міжнародний коледж Святого Луки""",Луценко Євген Валентинович
Приватний вищий навчальний заклад Університет новітніх технологій,Циганій Світлана Олексіївна
"Приватний вищий навчальний заклад ""Університет сучасних знань""",Мосьондз Сергій Олександрович
"Приватний вищий навчальний заклад ""Фаховий коледж міжнародної торгівлі""",Швець Катерина Павлівна
"Приватний вищий навчальний заклад ""Фінансово-правовий коледж""",Губанова Тамара Олексіївна
"Приватний вищий навчальний заклад-інститут ""Українсько-американський університет Конкордія""",Романовський Олександр Олексійович
"Приватний заклад вищої освіти ""Академія кіно та нових медіа""",Лавріненко Юлія Валеріївна
"Приватний заклад вищої освіти ""Арт академія сучасного мистецтва імені Сальвадора Далі""",Фурса Оксана Олександрівна
"Приватний заклад вищої освіти ""Київський міжнародний університет""",Хачатурян Хачатур Володимирович
"ПРИВАТНИЙ ЗАКЛАД ВИЩОЇ ОСВІТИ ""МІЖНАРОДНИЙ ЄВРОПЕЙСЬКИЙ УНІВЕРСИТЕТ""",Падалка Олег Семенович
"Приватний заклад вищої освіти ""Університет Київ""",Толстоухов Анатолій Володимирович
"Приватний заклад передвищої освіти ""Мистецький коледж імені Сальвадора Далі""",Фурса Оксана Олександрівна
Таврійський національний університет імені В.І.Вернадського,Бортняк Валерій Анатолійович
